cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7,Category_Level_8,Category_Level_9,Category_Level_10
"grocery > Snacks & Sweets > Candy, Chocolate & Gum",https://www.amazon.ae/Candy-Chocolate-Gum-Snacks-Sweets/b?ie=UTF8&node=15160153031,grocery , Snacks & Sweets ," Candy, Chocolate & Gum",,,,,,,
grocery > Snacks & Sweets > Chips & Crisps,https://www.amazon.ae/Chips-Crisps-Snacks-Sweets/b?ie=UTF8&node=15160146031,grocery , Snacks & Sweets , Chips & Crisps,,,,,,,
grocery > Snacks & Sweets > Chocolate,https://www.amazon.ae/Chocolate-Snacks-Sweets/b?ie=UTF8&node=15160147031,grocery , Snacks & Sweets , Chocolate,,,,,,,
grocery > Snacks & Sweets > Nuts & Seeds,https://www.amazon.ae/Nuts-Seeds-Snacks-Sweets/b?ie=UTF8&node=15160149031,grocery , Snacks & Sweets , Nuts & Seeds,,,,,,,
grocery > Snacks & Sweets > Snack Foods,https://www.amazon.ae/Snack-Foods-Snacks-Sweets/b?ie=UTF8&node=15160152031,grocery , Snacks & Sweets , Snack Foods,,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies > Electrolyte Drinks,https://www.amazon.ae/Electrolyte-Drinks-Smoothies/b?ie=UTF8&node=22202768031,grocery , Baby Foods , Drinks & Smoothies for Babies , Electrolyte Drinks,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies > Juices,https://www.amazon.ae/Juices-Drinks-Smoothies/b?ie=UTF8&node=22202765031,grocery , Baby Foods , Drinks & Smoothies for Babies , Juices,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies > Nutritional Shakes,https://www.amazon.ae/Nutritional-Shakes-Drinks-Smoothies/b?ie=UTF8&node=22202769031,grocery , Baby Foods , Drinks & Smoothies for Babies , Nutritional Shakes,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies > Smoothies,https://www.amazon.ae/Smoothies-Drinks/b?ie=UTF8&node=22202766031,grocery , Baby Foods , Drinks & Smoothies for Babies , Smoothies,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies > Tea,https://www.amazon.ae/Tea-Drinks-Smoothies/b?ie=UTF8&node=22202767031,grocery , Baby Foods , Drinks & Smoothies for Babies , Tea,,,,,,
grocery > Baby Foods > Baby & Toddler Formula > Liquid Baby Formula,https://www.amazon.ae/Liquid-Baby-Formula/b?ie=UTF8&node=22202764031,grocery , Baby Foods , Baby & Toddler Formula , Liquid Baby Formula,,,,,,
grocery > Baby Foods > Baby & Toddler Formula > Powder Baby Formula,https://www.amazon.ae/Powder-Baby-Formula/b?ie=UTF8&node=22202763031,grocery , Baby Foods , Baby & Toddler Formula , Powder Baby Formula,,,,,,
"grocery > Coffee, Tea & Beverages > Sports Nutrition Drinks > Protein Drinks",https://www.amazon.ae/Protein-Drinks-Sports-Nutrition/b?ie=UTF8&node=15245265031,grocery ," Coffee, Tea & Beverages ", Sports Nutrition Drinks , Protein Drinks,,,,,,
"grocery > Coffee, Tea & Beverages > Tea > Black Tea",https://www.amazon.ae/b?node=15160178031&ref=sr_nr_n_1,grocery ," Coffee, Tea & Beverages ", Tea , Black Tea,,,,,,
"grocery > Coffee, Tea & Beverages > Tea > Fruit & Herbal Tea",https://www.amazon.ae/b?node=15160179031&ref=sr_nr_n_2,grocery ," Coffee, Tea & Beverages ", Tea , Fruit & Herbal Tea,,,,,,
"grocery > Coffee, Tea & Beverages > Tea > Green Tea",https://www.amazon.ae/b?node=15160180031&ref=sr_nr_n_3,grocery ," Coffee, Tea & Beverages ", Tea , Green Tea,,,,,,
"grocery > Coffee, Tea & Beverages > Tea > Rooibos Tea",https://www.amazon.ae/b?node=27295780031&ref=sr_nr_n_4,grocery ," Coffee, Tea & Beverages ", Tea , Rooibos Tea,,,,,,
"grocery > Coffee, Tea & Beverages > Tea > Tea Samplers",https://www.amazon.ae/b?node=15160181031&ref=sr_nr_n_5,grocery ," Coffee, Tea & Beverages ", Tea , Tea Samplers,,,,,,
grocery > Dairy & Eggs > Cheese > Dairy-Free Cheese Substitutes,https://www.amazon.ae/b?node=21771249031&ref=sr_nr_n_1,grocery , Dairy & Eggs , Cheese , Dairy-Free Cheese Substitutes,,,,,,
"grocery > Dried Pulses, Rice & Pasta > Pasta & Noodles > Noodles",https://www.amazon.ae/b?node=15160202031&ref=sr_nr_n_1,grocery ," Dried Pulses, Rice & Pasta ", Pasta & Noodles , Noodles,,,,,,
"grocery > Dried Pulses, Rice & Pasta > Pasta & Noodles > Pasta",https://www.amazon.ae/b?node=15160203031&ref=sr_nr_n_2,grocery ," Dried Pulses, Rice & Pasta ", Pasta & Noodles , Pasta,,,,,,
grocery > Snacks & Sweets > Snack Foods > Snack Cakes & Pastries,https://www.amazon.ae/Snack-Cakes-Pastries-Foods/b?ie=UTF8&node=15160263031,grocery , Snacks & Sweets , Snack Foods , Snack Cakes & Pastries,,,,,,
