cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7,Category_Level_8,Category_Level_9,Category_Level_10
computers > Components & Replacement Parts > Internal Components > Graphics Cards,https://www.amazon.ae/b?node=12050275031&ref=sr_nr_n_3,computers , Components & Replacement Parts , Internal Components , Graphics Cards,,,,,,
computers > Components & Replacement Parts > Internal Components > Internal Data Storage,https://www.amazon.ae/b?node=15144685031&ref=sr_nr_n_4,computers , Components & Replacement Parts , Internal Components , Internal Data Storage,,,,,,
computers > Components & Replacement Parts > Internal Components > Internal TV Tuner & Video Capture Cards,https://www.amazon.ae/b?node=12050280031&ref=sr_nr_n_5,computers , Components & Replacement Parts , Internal Components , Internal TV Tuner & Video Capture Cards,,,,,,
computers > Components & Replacement Parts > Internal Components > Computer Memory,https://www.amazon.ae/b?node=12050281031&ref=sr_nr_n_6,computers , Components & Replacement Parts , Internal Components , Computer Memory,,,,,,
computers > Components & Replacement Parts > Internal Components > Motherboards,https://www.amazon.ae/b?node=12050282031&ref=sr_nr_n_7,computers , Components & Replacement Parts , Internal Components , Motherboards,,,,,,
computers > Components & Replacement Parts > Internal Components > Computer Power Supplies,https://www.amazon.ae/b?node=12050284031&ref=sr_nr_n_8,computers , Components & Replacement Parts , Internal Components , Computer Power Supplies,,,,,,
computers > Components & Replacement Parts > Laptop Components & Replacement Parts > DC Connectors,https://www.amazon.ae/DC-Connectors-Laptop-Components-Replacement-Parts/b?ie=UTF8&node=12050299031,computers , Components & Replacement Parts , Laptop Components & Replacement Parts , DC Connectors,,,,,,
computers > Components & Replacement Parts > Laptop Components & Replacement Parts > Fans,https://www.amazon.ae/Fans-Laptop-Components-Replacement-Parts/b?ie=UTF8&node=12050300031,computers , Components & Replacement Parts , Laptop Components & Replacement Parts , Fans,,,,,,
computers > Components & Replacement Parts > Laptop Components & Replacement Parts > Replacement Keyboards,https://www.amazon.ae/Replacement-Keyboards-Laptop-Components-Parts/b?ie=UTF8&node=12050303031,computers , Components & Replacement Parts , Laptop Components & Replacement Parts , Replacement Keyboards,,,,,,
computers > Components & Replacement Parts > Laptop Components & Replacement Parts > Replacement Screens,https://www.amazon.ae/Replacement-Screens-Laptop-Components-Parts/b?ie=UTF8&node=12050304031,computers , Components & Replacement Parts , Laptop Components & Replacement Parts , Replacement Screens,,,,,,
computers > Data Storage > External Data Storage > Blank Media Products,https://www.amazon.ae/b?node=12050257031&ref=sr_nr_n_1,computers , Data Storage , External Data Storage , Blank Media Products,,,,,,
computers > Data Storage > External Data Storage > External Hard Drives,https://www.amazon.ae/b?node=12050432031&ref=sr_nr_n_2,computers , Data Storage , External Data Storage , External Hard Drives,,,,,,
computers > Data Storage > External Data Storage > External Solid State Drives,https://www.amazon.ae/b?node=12050433031&ref=sr_nr_n_3,computers , Data Storage , External Data Storage , External Solid State Drives,,,,,,
computers > Data Storage > External Data Storage > Memory Cards,https://www.amazon.ae/b?node=12303761031&ref=sr_nr_n_4,computers , Data Storage , External Data Storage , Memory Cards,,,,,,
computers > Data Storage > External Data Storage > USB Flash Drives,https://www.amazon.ae/b?node=12050290031&ref=sr_nr_n_5,computers , Data Storage , External Data Storage , USB Flash Drives,,,,,,
computers > Data Storage > Internal Data Storage > Internal Hard Drives,https://www.amazon.ae/b?node=12050287031&ref=sr_nr_n_1,computers , Data Storage , Internal Data Storage , Internal Hard Drives,,,,,,
computers > Data Storage > Internal Data Storage > Internal Solid State Drives,https://www.amazon.ae/b?node=12050288031&ref=sr_nr_n_2,computers , Data Storage , Internal Data Storage , Internal Solid State Drives,,,,,,
computers > Data Storage > Network Attached Storage > Network Attached Storage (NAS) Devices,https://www.amazon.ae/b?node=20839804031&ref=sr_nr_n_1,computers , Data Storage , Network Attached Storage , Network Attached Storage (NAS) Devices,,,,,,
computers > Data Storage > Network Attached Storage > Network Attached Storage (NAS) Enclosures,https://www.amazon.ae/b?node=20839805031&ref=sr_nr_n_2,computers , Data Storage , Network Attached Storage , Network Attached Storage (NAS) Enclosures,,,,,,
computers > Networking Devices > Computer Network Adapters > USB Computer Network Adapters,https://www.amazon.ae/b?node=12050441031&ref=sr_nr_n_1,computers , Networking Devices , Computer Network Adapters , USB Computer Network Adapters,,,,,,
computers > Printers & Accessories > Printer Accessories > Printer Drum Kits,https://www.amazon.ae/b?node=12050444031&ref=sr_nr_n_1,computers , Printers & Accessories , Printer Accessories , Printer Drum Kits,,,,,,
computers > Printers & Accessories > Printer Accessories > Printer Maintenance Kits,https://www.amazon.ae/b?node=12050447031&ref=sr_nr_n_2,computers , Printers & Accessories , Printer Accessories , Printer Maintenance Kits,,,,,,
computers > Printers & Accessories > Printer Accessories > Printer Memory Modules,https://www.amazon.ae/b?node=12050448031&ref=sr_nr_n_3,computers , Printers & Accessories , Printer Accessories , Printer Memory Modules,,,,,,
"computers > Printers & Accessories > Printer Accessories > Printer Ink, Toner & Ribbons",https://www.amazon.ae/b?node=12050449031&ref=sr_nr_n_4,computers , Printers & Accessories , Printer Accessories ," Printer Ink, Toner & Ribbons",,,,,,
"computers > Printers & Accessories > Printer Accessories > Printer Transfer Belts, Rollers & Units",https://www.amazon.ae/b?node=12050450031&ref=sr_nr_n_5,computers , Printers & Accessories , Printer Accessories ," Printer Transfer Belts, Rollers & Units",,,,,,
computers > Printers & Accessories > Printers > Inkjet Printers,https://www.amazon.ae/b?node=12050456031&ref=sr_nr_n_1,computers , Printers & Accessories , Printers , Inkjet Printers,,,,,,
computers > Printers & Accessories > Printers > Laser Printers,https://www.amazon.ae/b?node=12050457031&ref=sr_nr_n_2,computers , Printers & Accessories , Printers , Laser Printers,,,,,,
computers > Printers & Accessories > Printers > Photo Computer Printers,https://www.amazon.ae/b?node=12050458031&ref=sr_nr_n_3,computers , Printers & Accessories , Printers , Photo Computer Printers,,,,,,
computers > Accessories > Audio & Video Accessories > Webcams & VoIP Equipment > Webcam Mounts,https://www.amazon.ae/b?node=27295755031&ref=sr_nr_n_1,computers , Accessories , Audio & Video Accessories , Webcams & VoIP Equipment , Webcam Mounts,,,,,
computers > Accessories > Audio & Video Accessories > Webcams & VoIP Equipment > Webcam Stands,https://www.amazon.ae/b?node=27295754031&ref=sr_nr_n_2,computers , Accessories , Audio & Video Accessories , Webcams & VoIP Equipment , Webcam Stands,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboard & Mice Accessories > Computer Keyboard Covers",https://www.amazon.ae/b?node=12050459031&ref=sr_nr_n_1,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboard & Mice Accessories , Computer Keyboard Covers,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboard & Mice Accessories > Mouse Pads",https://www.amazon.ae/b?node=12050460031&ref=sr_nr_n_2,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboard & Mice Accessories , Mouse Pads,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboard & Mice Accessories > Wrist Rests",https://www.amazon.ae/b?node=12422870031&ref=sr_nr_n_3,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboard & Mice Accessories , Wrist Rests,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves > Laptop & Netbook Computer Backpacks",https://www.amazon.ae/b?node=12050461031&ref=sr_nr_n_1,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves ", Laptop & Netbook Computer Backpacks,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves > Laptop & Netbook Computer Briefcases",https://www.amazon.ae/b?node=12050462031&ref=sr_nr_n_2,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves ", Laptop & Netbook Computer Briefcases,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves > Hard Case Shells for Laptops & Netbooks",https://www.amazon.ae/b?node=12050463031&ref=sr_nr_n_3,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves ", Hard Case Shells for Laptops & Netbooks,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves > Laptop Messenger & Shoulder Bags",https://www.amazon.ae/b?node=12050464031&ref=sr_nr_n_4,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves ", Laptop Messenger & Shoulder Bags,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves > Laptop Sleeves",https://www.amazon.ae/b?node=12050466031&ref=sr_nr_n_5,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves ", Laptop Sleeves,,,,,
computers > Accessories > Laptop Accessories > Laptop Chargers & Docking Stations > Car Chargers,https://www.amazon.ae/Car-Chargers-Docking-Stations/b?ie=UTF8&node=12050467031,computers , Accessories , Laptop Accessories , Laptop Chargers & Docking Stations , Car Chargers,,,,,
computers > Accessories > Laptop Accessories > Laptop Chargers & Docking Stations > Chargers & Power Supplies,https://www.amazon.ae/Chargers-Power-Supplies-Docking-Stations/b?ie=UTF8&node=12050468031,computers , Accessories , Laptop Accessories , Laptop Chargers & Docking Stations , Chargers & Power Supplies,,,,,
computers > Accessories > Laptop Accessories > Laptop Cooling Pads & External Fans > External Cooling Fans,https://www.amazon.ae/External-Cooling-Fans-Pads/b?ie=UTF8&node=12050471031,computers , Accessories , Laptop Accessories , Laptop Cooling Pads & External Fans , External Cooling Fans,,,,,
computers > Accessories > Laptop Accessories > Laptop Skins & Decals > Laptop Decals,https://www.amazon.ae/b?node=26958041031&ref=sr_nr_n_1,computers , Accessories , Laptop Accessories , Laptop Skins & Decals , Laptop Decals,,,,,
computers > Accessories > Laptop Accessories > Laptop Skins & Decals > Laptop Skins,https://www.amazon.ae/b?node=26958042031&ref=sr_nr_n_2,computers , Accessories , Laptop Accessories , Laptop Skins & Decals , Laptop Skins,,,,,
"computers > Accessories > Printer Accessories > Printer Ink, Toner & Ribbons > Printer Ink Cartridges",https://www.amazon.ae/b?node=12050484031&ref=sr_nr_n_1,computers , Accessories , Printer Accessories ," Printer Ink, Toner & Ribbons ", Printer Ink Cartridges,,,,,
"computers > Accessories > Printer Accessories > Printer Ink, Toner & Ribbons > Printer Toner Cartridges",https://www.amazon.ae/b?node=12050486031&ref=sr_nr_n_2,computers , Accessories , Printer Accessories ," Printer Ink, Toner & Ribbons ", Printer Toner Cartridges,,,,,
"computers > Accessories > Printer Accessories > Printer Transfer Belts, Rollers & Units > Printer Transfer Belts",https://www.amazon.ae/Printer-Transfer-Belts-Rollers-Units/b?ie=UTF8&node=12050487031,computers , Accessories , Printer Accessories ," Printer Transfer Belts, Rollers & Units ", Printer Transfer Belts,,,,,
"computers > Accessories > Tablet Accessories > Tablet Bags, Cases & Sleeves > Tablet Cases",https://www.amazon.ae/b?node=12050472031&ref=sr_nr_n_1,computers , Accessories , Tablet Accessories ," Tablet Bags, Cases & Sleeves ", Tablet Cases,,,,,
"computers > Accessories > Tablet Accessories > Tablet Bags, Cases & Sleeves > Tablet Keyboard Cases",https://www.amazon.ae/b?node=12050473031&ref=sr_nr_n_2,computers , Accessories , Tablet Accessories ," Tablet Bags, Cases & Sleeves ", Tablet Keyboard Cases,,,,,
"computers > Accessories > Tablet Accessories > Tablet Bags, Cases & Sleeves > Tablet Messenger & Shoulder Bags",https://www.amazon.ae/b?node=12050474031&ref=sr_nr_n_3,computers , Accessories , Tablet Accessories ," Tablet Bags, Cases & Sleeves ", Tablet Messenger & Shoulder Bags,,,,,
"computers > Accessories > Tablet Accessories > Tablet Bags, Cases & Sleeves > Tablet Sleeves",https://www.amazon.ae/b?node=12050475031&ref=sr_nr_n_4,computers , Accessories , Tablet Accessories ," Tablet Bags, Cases & Sleeves ", Tablet Sleeves,,,,,
computers > Accessories > Cables & Accessories > Cables > Ethernet Cables,https://www.amazon.ae/b?node=12050360031&ref=sr_nr_n_2,computers , Accessories , Cables & Accessories , Cables , Ethernet Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > Network Fiber Optic Cables,https://www.amazon.ae/b?node=12050361031&ref=sr_nr_n_3,computers , Accessories , Cables & Accessories , Cables , Network Fiber Optic Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > HDMI Cables,https://www.amazon.ae/b?node=12304118031&ref=sr_nr_n_4,computers , Accessories , Cables & Accessories , Cables , HDMI Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > Lightning Cables,https://www.amazon.ae/b?node=12050364031&ref=sr_nr_n_5,computers , Accessories , Cables & Accessories , Cables , Lightning Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > RGB Cables,https://www.amazon.ae/b?node=12050368031&ref=sr_nr_n_6,computers , Accessories , Cables & Accessories , Cables , RGB Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > SATA Cables,https://www.amazon.ae/b?node=12050370031&ref=sr_nr_n_7,computers , Accessories , Cables & Accessories , Cables , SATA Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > USB Cables,https://www.amazon.ae/b?node=12050374031&ref=sr_nr_n_8,computers , Accessories , Cables & Accessories , Cables , USB Cables,,,,,
computers > Accessories > Cables & Accessories > Cables > Flat Ribbon Cables,https://www.amazon.ae/b?node=27891359031&ref=sr_nr_n_9,computers , Accessories , Cables & Accessories , Cables , Flat Ribbon Cables,,,,,
computers > Components & Replacement Parts > Internal Components > Internal Fans & Cooling Components > CPU Fans,https://www.amazon.ae/b?node=12050422031&ref=sr_nr_n_1,computers , Components & Replacement Parts , Internal Components , Internal Fans & Cooling Components , CPU Fans,,,,,
computers > Components & Replacement Parts > Internal Components > Internal Fans & Cooling Components > Computer Case Fans,https://www.amazon.ae/b?node=12050423031&ref=sr_nr_n_2,computers , Components & Replacement Parts , Internal Components , Internal Fans & Cooling Components , Computer Case Fans,,,,,
