cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7
videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Cables & Adapters,https://www.amazon.ae/Cables-Adapters-Accessories/b?ie=UTF8&node=12359459031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories , Cables & Adapters,
"videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Faceplates, Protectors & Skins",https://www.amazon.ae/Faceplates-Protectors-Skins-Accessories/b?ie=UTF8&node=12359461031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories ," Faceplates, Protectors & Skins",
videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Gaming Headsets,https://www.amazon.ae/Gaming-Headsets-Accessories/b?ie=UTF8&node=12359463031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories , Gaming Headsets,
videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Hand Grips,https://www.amazon.ae/Hand-Grips-Accessories/b?ie=UTF8&node=12359462031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories , Hand Grips,
"videogames > Legacy Systems > Handheld Game Systems > PSP > Accessories > Faceplates, Protectors & Skins > Faceplates",https://www.amazon.ae/Faceplates-Protectors-Skins/b?ie=UTF8&node=12359648031,videogames , Legacy Systems , Handheld Game Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Faceplates
"videogames > Legacy Systems > Handheld Game Systems > PSP > Accessories > Faceplates, Protectors & Skins > Protectors",https://www.amazon.ae/Protectors-Faceplates-Skins/b?ie=UTF8&node=12359649031,videogames , Legacy Systems , Handheld Game Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Protectors
"videogames > Legacy Systems > Handheld Game Systems > PSP > Accessories > Faceplates, Protectors & Skins > Skin & Protector Sets",https://www.amazon.ae/Skin-Protector-Sets-Faceplates-Protectors-Skins/b?ie=UTF8&node=12359650031,videogames , Legacy Systems , Handheld Game Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Skin & Protector Sets
"videogames > Legacy Systems > Handheld Game Systems > PSP > Accessories > Faceplates, Protectors & Skins > Skins",https://www.amazon.ae/Skins-Faceplates-Protectors/b?ie=UTF8&node=12359651031,videogames , Legacy Systems , Handheld Game Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Skins
videogames > Legacy Systems > PlayStation Systems > PlayStation 3 > PlayStation 3 Accessories > PlayStation 3 Batteries & Chargers > Batteries,https://www.amazon.ae/Batteries-Chargers/b?ie=UTF8&node=12359655031,videogames , Legacy Systems , PlayStation Systems , PlayStation 3 , PlayStation 3 Accessories , PlayStation 3 Batteries & Chargers , Batteries
videogames > Legacy Systems > PlayStation Systems > PlayStation 3 > PlayStation 3 Accessories > PlayStation 3 Batteries & Chargers > Battery & Charger Sets,https://www.amazon.ae/Battery-Charger-Sets-Batteries-Chargers/b?ie=UTF8&node=12359656031,videogames , Legacy Systems , PlayStation Systems , PlayStation 3 , PlayStation 3 Accessories , PlayStation 3 Batteries & Chargers , Battery & Charger Sets
videogames > Legacy Systems > PlayStation Systems > PlayStation 3 > PlayStation 3 Accessories > PlayStation 3 Batteries & Chargers > Chargers,https://www.amazon.ae/Chargers-Batteries/b?ie=UTF8&node=12359657031,videogames , Legacy Systems , PlayStation Systems , PlayStation 3 , PlayStation 3 Accessories , PlayStation 3 Batteries & Chargers , Chargers
"videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Faceplates, Protectors & Skins > Faceplates",https://www.amazon.ae/Faceplates-Protectors-Skins/b?ie=UTF8&node=12359648031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Faceplates
"videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Faceplates, Protectors & Skins > Protectors",https://www.amazon.ae/Protectors-Faceplates-Skins/b?ie=UTF8&node=12359649031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Protectors
"videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Faceplates, Protectors & Skins > Skin & Protector Sets",https://www.amazon.ae/Skin-Protector-Sets-Faceplates-Protectors-Skins/b?ie=UTF8&node=12359650031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Skin & Protector Sets
"videogames > Legacy Systems > PlayStation Systems > PSP > Accessories > Faceplates, Protectors & Skins > Skins",https://www.amazon.ae/Skins-Faceplates-Protectors/b?ie=UTF8&node=12359651031,videogames , Legacy Systems , PlayStation Systems , PSP , Accessories ," Faceplates, Protectors & Skins ", Skins
